 RUN:   DR:   WG: 
 37596   x   n 
 37597   x   n 
 37610   x   n 
 37611   x   n 
 37612   x   n 
 37614   x   n 
 37615   x   n 
 37616   x   n 
 37617   x   n 
 37620   x   n 
 37621   x   n 
 37622   x   n 
 37637   x   x 
 37642   x   n 
 37643   x   n 
 37644   x   n 
 37645   x   n 
 37646   x   n 
 37647   x   n 
 37648   x   n 
 37649   x   x 
 37650   x   n 
 37651   x   n 
 37652   x   n 
 37653   x   n 
 37654   x   n 
 37655   x   x 
 37656   x   n 
 37657   x   n 
 37658   y   y 
 37659   y   y 
 37660   x   n 
 37661   y   y 
 37662   y   y 
 37663   x   x 
 37664   y   y 
 37665   y   y 
 37666   y   y 
 37667   y   y 
 37668   x   n 
 37669   x   n 
 37670   y   y 
 37671   x   x 
 37672   y   y 
 37673   y   y 
 37674   y   y 
 37675   y   y 
 37677   y   y 
 37678   y   y 
 37679   y   y 
 37680   y   y 
 37681   y   y 
 37682   x   n 
 37683   y   y 
 37684   y   y 
 37685   y   y 
 37686   y   y 
 37687   y   y 
 37688   y   y 
 37689   y   y 
 37690   y   y 
 37691   y   y 
 37692   y   y 
 37693   y   y 
 37694   y   y 
 37695   x   n 
 37696   x   n 
 37697   x   n 
 37698   y   y 
 37699   y   y 
 37700   y   y 
 37701   y   y 
 37702   y   y 
 37703   y   y 
 37704   y   y 
 37705   y   y 
 37706   y   y 
 37707   y   y 
 37708   y   y 
 37709   y   y 
 37710   y   y 
 37711   y   y 
 37712   y   y 
 37713   y   y 
 37714   y   y 
 37715   y   y 
 37716   y   y 
 37717   y   y 
 37718   x   n 
 37719   y   y 
 37720   x   n 
 37721   y   y 
 37722   y   y 
 37723   y   y 
 37724   y   y 
 37725   y   y 
 37726   y   y 
 37740   y   y 
 37741   x   n 
 37742   x   n 
 37743   x   n 
 37744   y   y 
 37745   y   y 
 37746   y   y 
 37747   n   y 
 37748   n   y 
 37750   y   y 
 37753   y   y 
 37754   x   x 
 37756   x   x 
 37757   x   x 
 37758   x   x 
 37759   x   x 
 37760   x   x 
 37761   x   x 
 37762   y   y 
 37763   y   y 
 37764   x   x 
 37765   x   n 
 37766   y   y 
 37767   y   y 
 37768   x   x 
 37769   y   y 
 37770   y   y 
 37771   x   n 
 37772   y   y 
 37773   y   y 
 37774   x   n 
 37775   y   y 
 37776   y   y 
 37777   x   n 
 37778   y   y 
 37779   x   n 
 37780   y   y 
 37781   y   y 
 37782   y   y 
 37783   y   y 
 37784   y   y 
 37785   y   y 
 37786   x   n 
 37787   x   n 
 37788   n   y 
 37789   y   y 
 37790   y   y 
 37791   x   n 
 37792   x   n 
 37793   x   x 
 37794   x   x 
 37796   x   x 
 37798   x   n 
 37799   x   n 
 37800   x   n 
 37801   y   y 
 37802   y   y 
 37803   y   y 
 37804   y   y 
 37805   y   y 
 37806   y   y 
 37807   y   y 
 37808   y   y 
 37809   y   y 
 37810   y   y 
 37811   y   y 
 37812   n   y 
 37813   y   y 
 37814   y   y 
 37815   y   y 
 37816   y   y 
 37817   y   y 
 37818   y   y 
 37819   y   y 
 37820   y   y 
 37821   x   n 
 37822   y   y 
 37823   y   y 
 37824   y   y 
 37825   n   y 
 37826   x   n 
 37827   x   n 
 37828   n   y 
 37829   x   n 
 37831   y   y 
 37832   y   y 
 37833   y   y 
 37835   x   n 
 37842   x   n 
 37843   x   n 
 37844   y   y 
 37845   y   y 
 37846   y   y 
 37847   y   y 
 37848   y   y 
 37849   y   y 
 37850   y   y 
 37851   n   y 
 37852   n   y 
 37853   x   n 
 37854   n   n 
 37855   x   x 
 37856   x   n 
 37988   x   n 
 37989   x   n 
 37992   x   x 
 38001   x   n 
 38002   x   n 
 38038   x   n 
 38039   x   n 
 38044   x   n 
 38045   x   n 
 38046   y   y 
 38047   y   y 
 38048   y   y 
 38049   y   y 
 38050   y   y 
 38051   y   y 
 38052   n   y 
 38053   n   y 
 38063   x   n 
 38064   x   n 
 38065   x   n 
 38066   x   n 
 38068   x   n 
 38070   y   y 
 38071   y   y 
 38072   y   y 
 38074   y   y 
 38075   y   y 
 38076   y   y 
 38077   y   y 
 38078   y   y 
 38079   y   y 
 38080   y   y 
 38081   y   y 
 38082   y   y 
 38083   y   y 
 38084   y   y 
 38085   y   y 
 38086   y   y 
 38087   x   n 
 38088   x   n 
 38089   y   y 
 38090   y   y 
 38091   y   y 
 38092   y   y 
 38093   y   y 
 38094   y   y 
 38095   y   y 
 38096   y   y 
 38097   y   y 
 38098   y   y 
 38099   y   y 
 38100   y   y 
 38106   x   n 
 38107   x   n 
 38108   x   n 
 38109   x   n 
 38110   x   n 
 38111   n   n 
 38112   n   n 
 38113   x   x 
 38114   y   y 
 38115   x   x 
 38116   x   n 
 38117   y   y 
 38118   y   y 
 38119   y   y 
 38120   y   y 
 38121   y   y 
 38122   y   y 
 38127   x   n 
 38129   x   n 
 38130   x   n 
 38131   y   y 
 38132   y   y 
 38133   y   y 
 38134   y   y 
 38135   y   y 
 38136   y   y 
 38137   y   y 
 38138   y   y 
 38139   y   y 
 38140   y   y 
 38141   y   y 
 38142   y   y 
 38143   y   y 
 38144   y   y 
 38145   x   n 
 38146   y   y 
 38147   x   x 
 38150   x   n 
 38151   x   n 
 38152   x   n 
 38153   x   n 
 38154   x   n 
 38155   x   n 
 38156   x   x 
 38158   x   x 
 38159   x   x 
 38160   x   n 
 38161   x   n 
 38162   x   n 
 38163   x   n 
 38164   x   n 
 38165   x   n 
 38166   x   n 
 38167   x   n 
 38168   x   n 
 38169   x   n 
 38170   x   n 
 38171   x   n 
 38172   y   y 
 38173   y   y 
 38174   y   y 
 38175   y   y 
 38176   y   y 
 38177   y   y 
 38178   x   n 
 38182   y   y 
 38183   y   y 
 38184   y   y 
 38185   y   y 
 38186   y   y 
 38187   y   y 
 38188   y   y 
 38189   y   y 
 38190   y   y 
 38191   y   y 
 38192   y   y 
 38193   x   n 
 38194   y   y 
 38195   y   y 
 38196   y   y 
 38197   y   y 
 38198   y   y 
 38199   y   y 
 38200   y   y 
 38201   y   y 
 38202   x   n 
 38203   y   y 
 38204   y   y 
 38205   y   y 
 38206   y   y 
 38207   y   y 
 38208   y   y 
 38209   y   y 
 38210   y   y 
 38211   y   y 
 38212   y   y 
 38213   y   y 
 38214   y   y 
 38215   y   y 
 38216   y   y 
 38217   y   y 
 38218   y   y 
 38219   y   y 
 38220   y   y 
 38221   y   y 
 38222   y   y 
 38223   y   y 
 38224   x   n 
 38225   y   y 
 38226   y   y 
 38228   x   n 
 38229   x   n 
 38230   x   n 
 38231   x   n 
 38232   x   n 
 38233   x   n 
 38234   x   n 
 38235   x   n 
 38236   x   n 
 38237   x   n 
 38238   x   n 
 38239   x   n 
 38242   x   n 
 38256   x   n 
 38257   x   n 
 38258   x   n 
 38259   x   n 
 38260   x   n 
 38261   x   n 
 38262   x   x 
 38263   x   n 
 38264   x   n 
 38265   y   y 
 38266   y   y 
 38267   x   n 
 38268   y   y 
 38269   x   n 
 38270   x   n 
 38271   y   y 
 38272   y   y 
 38273   y   y 
 38274   y   y 
 38275   y   y 
 38276   y   y 
 38277   n   y 
 38278   y   y 
 38279   x   x 
 38280   x   n 
 38281   x   n 
 38282   x   n 
 38283   y   y 
 38284   y   y 
 38285   y   y 
 38286   y   y 
 38287   x   n 
 38288   y   y 
 38289   y   y 
 38290   y   y 
 38291   x   x 
 38292   x   x 
 38297   x   n 
 38299   x   n 
 38300   y   y 
 38301   y   y 
 38302   y   y 
 38303   y   n 
 38304   y   y 
 38305   y   y 
 38306   y   y 
 38307   y   y 
 38308   x   n 
 38309   y   y 
 38310   y   y 
 38311   x   x 
 38312   y   y 
 38313   y   y 
 38314   y   y 
 38315   y   y 
 38316   y   n 
 38317   y   y 
 38318   y   y 
 38319   x   x 
 38320   y   y 
 38321   y   n 
 38322   y   y 
 38323   x   n 
 38324   x   n 
 38325   x   n 
 38326   x   n 
 38327   x   n 
 38328   y   y 
 38329   y   n 
 38330   x   x 
 38331   y   y 
 38332   x   n 
 38333   x   x 
 38336   x   n 
 38337   y   y 
 38338   y   y 
 38339   y   n 
 38340   y   n 
 38341   y   y 
 38342   y   y 
 38343   x   x 
 38344   y   y 
 38345   x   x 
 38346   y   y 
 38347   y   y 
 38350   y   y 
 38351   y   y 
 38352   y   n 
 38353   y   y 
 38354   y   y 
 38355   y   y 
 38356   y   y 
 38357   x   n 
 38358   x   n 
 38359   y   y 
 38360   y   y 
 38361   x   n 
 38362   x   x 
 38363   x   n 
 38364   y   y 
 38365   y   y 
 38366   x   n 
 38367   x   x 
 38368   x   n 
 38369   x   n 
 38370   x   n 
 38371   x   n 
 38372   x   n 
 38373   x   n 
 38374   x   x 
 38375   x   n 
 38376   x   n 
 38377   x   n 
 38378   y   y 
 38379   y   y 
 38380   y   y 
 38381   y   y 
 38382   y   y 
 38383   y   y 
 38384   y   y 
 38385   y   y 
 38387   y   y 
 38388   y   y 
 38389   y   y 
 38390   y   y 
 38391   y   y 
 38392   y   y 
 38393   y   y 
 38394   y   y 
 38395   n   y 
 38396   y   y 
 38397   y   y 
 38398   y   y 
 38399   n   y 
 38400   n   y 
 38401   y   y 
 38402   n   y 
 38403   n   y 
 38404   n   y 
 38405   n   y 
 38408   n   y 
 38409   n   y 
 38410   n   y 
 38411   n   y 
 38412   y   y 
 38415   n   y 
 38417   n   y 
 38418   n   y 
 38419   n   y 
 38420   y   y 
 38421   y   y 
 38422   y   y 
 38423   y   y 
 38424   n   n 
 38425   n   n 
 38426   n   n 
 38427   n   n 
 38428   x   n 
 38429   y   n 
 38430   y   y 
 38431   y   y 
 38432   n   y 
 38433   y   y 
 38434   y   y 
 38435   y   y 
 38436   y   y 
 38437   y   y 
 38438   y   y 
 38439   y   n 
 38440   y   y 
 38441   n   y 
 38442   x   x 
 38443   n   y 
 38444   x   n 
 38445   x   n 
 38446   y   y 
 38447   y   y 
 38448   x   n 
 38449   y   y 
 38450   y   y 
 38451   n   y 
 38452   y   y 
 38453   y   y 
 38454   y   y 
 38455   y   y 
 38456   y   y 
 38457   y   y 
 38458   y   y 
 38459   y   y 
 38460   y   y 
 38461   n   y 
 38462   y   y 
 38463   y   y 
 38464   y   y 
 38465   y   y 
 38466   y   y 
 38467   n   y 
 38468   y   y 
 38469   y   y 
 38470   y   y 
 38471   n   y 
 38472   n   y 
 38473   n   y 
 38474   n   y 
 38475   n   y 
 38476   n   y 
 38477   n   y 
 38478   n   n 
 38479   n   y 
 38480   n   y 
 38482   x   n 
 38483   n   y 
 38484   n   y 
 38485   n   y 
 38486   y   y 
 38487   n   y 
 38488   n   y 
 38489   n   y 
 38490   n   y 
 38491   n   y 
 38492   n   y 
 38493   n   y 
 38494   n   y 
 38495   y   y 
 38496   x   n 
 38497   y   y 
 38498   y   y 
 38499   y   y 
 38500   y   y 
 38501   y   y 
 38506   x   n 
 38507   n   y 
 38508   y   y 
 38509   y   y 
 38510   y   y 
 38511   y   y 
 38512   y   y 
 38513   y   y 
 38514   y   y 
 38515   y   y 
 38516   y   y 
 38517   y   y 
 38518   y   y 
 38519   y   y 
 38520   y   y 
 38521   y   y 
 38522   y   y 
 38523   y   y 
 38524   y   y 
 38525   y   y 
 38526   y   y 
 38527   y   x 
 38528   y   x 
 38529   y   x 
 38530   y   x 
 38531   y   x 
 38534   y   x 
 38536   y   x 
 38537   y   y 
 38538   y   y 
 38539   y   y 
 38540   y   y 
 38541   y   y 
 38542   y   y 
 38543   y   y 
 38544   y   y 
 38545   y   y 
 38548   y   y 
 38549   y   y 
 38550   y   y 
 38551   y   y 
 38552   y   y 
 38553   y   y 
 38554   n   y 
 38555   x   n 
 38556   x   x 
 38558   y   y 
 38559   n   y 
 38560   y   y 
 38561   y   y 
 38562   y   y 
 38563   y   y 
 38568   y   y 
 38571   y   y 
 38572   y   y 
 38573   y   y 
 38574   n   y 
 38575   n   y 
 38576   y   y 
 38577   y   y 
 38578   y   y 
 38579   n   y 
 38580   n   y 
 38581   n   y 
 38582   y   y 
 38583   y   y 
 38584   y   y 
 38585   y   y 
 38586   x   n 
 38587   y   n 
 38588   y   n 
 38589   x   n 
 38590   y   n 
 38595   x   n 
 38596   y   y 
 38597   y   y 
 38598   y   y 
 38599   x   n 
 38600   y   y 
 38601   y   y 
 38602   y   y 
 38603   y   y 
 38604   y   y 
 38605   x   n 
 38606   y   y 
 38607   y   y 
 38608   y   y 
 38609   y   y 
 38610   y   y 
 38611   y   y 
 38612   y   y 
 38613   y   y 
 38614   y   y 
 38615   x   n 
 38616   y   y 
 38617   y   y 
 38618   y   y 
 38619   y   y 
 38620   y   y 
 38621   y   y 
 38622   y   y 
 38623   y   y 
 38624   y   y 
 38625   y   y 
 38626   y   y 
 38627   y   y 
 38628   y   y 
 38629   y   y 
 38630   y   y 
 38631   y   y 
 38632   y   y 
 38633   y   y 
 38634   y   y 
 38635   y   y 
 38636   y   y 
 38637   y   y 
 38638   y   y 
 38639   y   y 
 38640   y   y 
 38641   y   y 
 38642   y   y 
 38644   x   n 
 38645   y   y 
 38646   y   y 
 38647   y   y 
 38648   n   y 
 38649   y   y 
 38650   n   y 
 38651   n   y 
 38652   n   y 
 38653   n   y 
 38654   n   y 
 38655   n   y 
 38656   n   y 
 38658   n   n 
 38659   n   n 
 38660   n   n 
 38661   n   n 
 38662   n   n 
 38663   y   n 
 38664   y   n 
 38665   n   n 
 38666   y   n 
 38667   n   n 
 38668   n   n 
 38669   x   n 
 38670   n   y 
 38671   n   y 
 38672   n   y 
 38673   n   y 
 38674   n   y 
 38675   n   y 
 38676   n   y 
 38677   n   y 
